ID,year,country,assignment,,,,,,,,,,
03006PHI,2000,Philippines,,,,,,,,,,,
03007PHI,2001,Philippines,,,,,,,,,,,
04030PHI,2004,Philippines,,,,,,,,,,,
120,2019,Philippines,,,,,,,,,,,
121,2019,Philippines,,,,,,,,,,,
130,2019,Philippines,,,,,,,,,,,
131,2019,Philippines,,,,,,,,,,,
132,2019,Philippines,,,,,,,,,,,
140,2019,Philippines,,,,,,,,,,,
153,2018,Philippines,,,,,,,,,,,
18-092,2018,Philippines,,,,,,,,,,,
18-094,2018,Philippines,,,,,,,,,,,
18-096,2018,Philippines,,,,,,,,,,,
18-099,2018,Philippines,,,,,,,,,,,
18-101,2018,Philippines,,,,,,,,,,,
18-102,2018,Philippines,,,,,,,,,,,
18-103,2018,Philippines,,,,,,,,,,,
18-106,2018,Philippines,,,,,,,,,,,
18-107,2018,Philippines,,,,,,,,,,,
18-114,2018,Philippines,,,,,,,,,,,
18-116,2018,Philippines,,,,,,,,,,,
18-118,2018,Philippines,,,,,,,,,,,
18-120,2018,Philippines,,,,,,,,,,,
18-121,2018,Philippines,,,,,,,,,,,
18-130,2018,Philippines,,,,,,,,,,,
18-133,2018,Philippines,,,,,,,,,,,
18-135,2018,Philippines,,,,,,,,,,,
18-138,2018,Philippines,,,,,,,,,,,
18-142,2018,Philippines,,,,,,,,,,,
18-144,2018,Philippines,,,,,,,,,,,
18-147,2018,Philippines,,,,,,,,,,,
18-151,2018,Philippines,,,,,,,,,,,
18-153,2018,Philippines,,,,,,,,,,,
18-162,2018,Philippines,,,,,,,,,,,
18-163,2018,Philippines,,,,,,,,,,,
18-164,2018,Philippines,,,,,,,,,,,
18-172,2018,Philippines,,,,,,,,,,,
18-174,2018,Philippines,,,,,,,,,,,
18-179,2018,Philippines,,,,,,,,,,,
18-181,2018,Philippines,,,,,,,,,,,
18-183,2018,Philippines,,,,,,,,,,,
18-188,2018,Philippines,,,,,,,,,,,
18-191,2018,Philippines,,,,,,,,,,,
18-194,2018,Philippines,,,,,,,,,,,
18-196,2018,Philippines,,,,,,,,,,,
18-199,2018,Philippines,,,,,,,,,,,
18-209,2018,Philippines,,,,,,,,,,,
18-214,2018,Philippines,,,,,,,,,,,
18-216,2018,Philippines,,,,,,,,,,,
18-221,2018,Philippines,,,,,,,,,,,
18-223,2018,Philippines,,,,,,,,,,,
18-224,2018,Philippines,,,,,,,,,,,
18-225,2018,Philippines,,,,,,,,,,,
19-004,2019,Philippines,,,,,,,,,,,
19-011,2019,Philippines,,,,,,,,,,,
19-015,2019,Philippines,,,,,,,,,,,
19-022,2019,Philippines,,,,,,,,,,,
19-045,2019,Philippines,,,,,,,,,,,
19-050,2019,Philippines,,,,,,,,,,,
4A-22-104,2022,Philippines,,,,,,,,,,,
4A-22-171,2022,Philippines,,,,,,,,,,,
4A-22-203,2023,Philippines,,,,,,,,,,,
4A-22-40,2023,Philippines,,,,,,,,,,,
4A-22-98,2022,Philippines,,,,,,,,,,,
4B-21-126,2021,Philippines,,,,,,,,,,,
4B-21-29,2022,Philippines,,,,,,,,,,,
4B-21-310,2022,Philippines,,,,,,,,,,,
4B-21-35,2021,Philippines,,,,,,,,,,,
4B-21-412,2022,Philippines,,,,,,,,,,,
4B-21-421,2021,Philippines,,,,,,,,,,,
4B-21-423,2021,Philippines,,,,,,,,,,,
4B-21-528,2021,Philippines,,,,,,,,,,,
4B-21622,2022,Philippines,,,,,,,,,,,
4B-22-114,2022,Philippines,,,,,,,,,,,
4B-22-13,2022,Philippines,,,,,,,,,,,
4B-22-15,2022,Philippines,,,,,,,,,,,
4B-22-16,2022,Philippines,,,,,,,,,,,
4B-22-17,2023,Philippines,,,,,,,,,,,
4B-22-20,2022,Philippines,,,,,,,,,,,
4B-22-21,2022,Philippines,,,,,,,,,,,
4B-22-28,2023,Philippines,,,,,,,,,,,
4B-22-30,2023,Philippines,,,,,,,,,,,
4B-22-31,2023,Philippines,,,,,,,,,,,
4B-22-35,2023,Philippines,,,,,,,,,,,
4B-22-37,2022,Philippines,,,,,,,,,,,
4B-22-39,2023,Philippines,,,,,,,,,,,
4B-22-40,2022,Philippines,,,,,,,,,,,
4B-22-41,2023,Philippines,,,,,,,,,,,
4B-22-42,2023,Philippines,,,,,,,,,,,
4B-22-44,2023,Philippines,,,,,,,,,,,
4B-22-45,2023,Philippines,,,,,,,,,,,
4B-23-01,2023,Philippines,,,,,,,,,,,
4B-23-02,2023,Philippines,,,,,,,,,,,
4B-23-03,2023,Philippines,,,,,,,,,,,
4B-23-04,2023,Philippines,,,,,,,,,,,
4B-23-05,2023,Philippines,,,,,,,,,,,
4B-23-06,2023,Philippines,,,,,,,,,,,
4B-23-07,2023,Philippines,,,,,,,,,,,
4B-23-11,2023,Philippines,,,,,,,,,,,
4B-23-12,2023,Philippines,,,,,,,,,,,
4B-23-13,2024,Philippines,,,,,,,,,,,
4B-23-15,2023,Philippines,,,,,,,,,,,
4B-23-16,2023,Philippines,,,,,,,,,,,
4B-23-17,2023,Philippines,,,,,,,,,,,
4B-23-19,2023,Philippines,,,,,,,,,,,
4B-2422,2022,Philippines,,,,,,,,,,,
4B-2922HM,2023,Philippines,,,,,,,,,,,
4B-2922JG,2023,Philippines,,,,,,,,,,,
55,2019,Philippines,,,,,,,,,,,
66,2019,Philippines,,,,,,,,,,,
87,2019,Philippines,,,,,,,,,,,
93,2019,Philippines,,,,,,,,,,,
94270PHI,1994,Philippines,,,,,,,,,,,
94272PHI,1994,Philippines,,,,,,,,,,,
94273PHI,1994,Philippines,,,,,,,,,,,
94275PHI,1994,Philippines,,,,,,,,,,,
94278PHI,1994,Philippines,,,,,,,,,,,
94280PHI,1994,Philippines,,,,,,,,,,,
94281PHI,1994,Philippines,,,,,,,,,,,
A12_1952,2009,Philippines,,,,,,,,,,,
A12_1959,2009,Philippines,,,,,,,,,,,
A12_1964,2009,Philippines,,,,,,,,,,,
A12_1969,2009,Philippines,,,,,,,,,,,
A12_1973,2009,Philippines,,,,,,,,,,,
A12_1977,2009,Philippines,,,,,,,,,,,
A12_1978,2009,Philippines,,,,,,,,,,,
BAI/BAI3/2019-01/fel,2019,Philippines,,,,,,,,,,,
BAI/BAI4A/2019-01/can,2019,Philippines,,,,,,,,,,,
BAI/BAINCR/2019-01/can,2019,Philippines,,,,,,,,,,,
BAI/BAINCR/2019-02/can,2019,Philippines,,,,,,,,,,,
BAI/BAINCR/2019-03/can,2019,Philippines,,,,,,,,,,,
H-23-011Sk_12,2023,Philippines,,,,,,,,,,,
PHI103,2001,Philippines,,,,,,,,,,,
PHI114,2001,Philippines,,,,,,,,,,,
Philippin_dog,2013,Philippines,,,,,,,,,,,
R1-21-148,2022,Philippines,,,,,,,,,,,
R10-688,2021,Philippines,,,,,,,,,,,
R10-711,2022,Philippines,,,,,,,,,,,
R10-714,2022,Philippines,,,,,,,,,,,
R10-824,2022,Philippines,,,,,,,,,,,
R10-856,2022,Philippines,,,,,,,,,,,
R10-907,2022,Philippines,,,,,,,,,,,
R10-920,2022,Philippines,,,,,,,,,,,
R10-989,2022,Philippines,,,,,,,,,,,
R10-990,2022,Philippines,,,,,,,,,,,
R11-21-61,2022,Philippines,,,,,,,,,,,
R11-21-63,2021,Philippines,,,,,,,,,,,
R11-22-002,2022,Philippines,,,,,,,,,,,
R2-081,2021,Philippines,,,,,,,,,,,
R3-731,2022,Philippines,,,,,,,,,,,
R5-09,2022,Philippines,,,,,,,,,,,
R5-21-115,2022,Philippines,,,,,,,,,,,
R5-21-119,2022,Philippines,,,,,,,,,,,
R5-21-128,2022,Philippines,,,,,,,,,,,
R5-21-132,2022,Philippines,,,,,,,,,,,
R5-21-136,2021,Philippines,,,,,,,,,,,
