ID,country,year,assignment
4A-22-104,Philippines,2022,Asian SEA4
4A-22-171,Philippines,2022,Asian SEA4
4A-22-203,Philippines,2022,Asian SEA4
4A-22-40,Philippines,2022,Asian SEA4
4A-22-98,Philippines,2022,Asian SEA4
4B-21-126,Philippines,2021,Asian SEA4
4B-21-29,Philippines,2021,Asian SEA4
4B-21-310,Philippines,2021,Asian SEA4
4B-21-35,Philippines,2021,Asian SEA4
4B-21-412,Philippines,2021,Asian SEA4
4B-21-421,Philippines,2021,Asian SEA4
4B-21-423,Philippines,2021,Asian SEA4
4B-21-528,Philippines,2021,Asian SEA4
4B-21622,Philippines,2021,Asian SEA4
4B-22-114,Philippines,2022,Asian SEA4
4B-22-13,Philippines,2022,Asian SEA4
4B-22-15,Philippines,2022,Asian SEA4
4B-22-16,Philippines,2022,Asian SEA4
4B-22-17,Philippines,2022,Asian SEA4
4B-22-20,Philippines,2022,Asian SEA4
4B-22-21,Philippines,2022,Asian SEA4
4B-22-28,Philippines,2022,Asian SEA4
4B-22-30,Philippines,2022,Asian SEA4
4B-22-31,Philippines,2022,Asian SEA4
4B-22-35,Philippines,2022,Asian SEA4
4B-22-37,Philippines,2022,Asian SEA4
4B-22-39,Philippines,2022,Asian SEA4
4B-22-40,Philippines,2022,Asian SEA4
4B-22-41,Philippines,2022,Asian SEA4
4B-22-42,Philippines,2022,Asian SEA4
4B-22-44,Philippines,2022,Asian SEA4
4B-22-45,Philippines,2022,Asian SEA4
4B-23-01,Philippines,2023,Asian SEA4
4B-23-02,Philippines,2023,Asian SEA4
4B-23-03,Philippines,2023,Asian SEA4
4B-23-04,Philippines,2023,Asian SEA4
4B-23-05,Philippines,2023,Asian SEA4
4B-23-06,Philippines,2023,Asian SEA4
4B-23-07,Philippines,2023,Asian SEA4
4B-23-11,Philippines,2023,Asian SEA4
4B-23-13,Philippines,2023,Asian SEA4
4B-23-15,Philippines,2023,Asian SEA4
4B-23-16,Philippines,2023,Asian SEA4
4B-23-17,Philippines,2023,Asian SEA4
4B-23-19,Philippines,2023,Asian SEA4
4B-2422,Philippines,2022,Asian SEA4
4B-2922HM,Philippines,2022,Asian SEA4
4B-2922JG,Philippines,2022,Asian SEA4
H-23-011Sa11,Philippines,2023,Asian SEA4
H-23-011Sk12,Philippines,2023,Asian SEA4
Z-22-103,Philippines,2022,Asian SEA4
Z-22-121,Philippines,2022,Asian SEA4
H-23-011Sa12,Philippines,2023,
H-23-011Sk10,Philippines,2023,
H-23-011Sk12,Philippines,2023,
Z-22-119,Philippines,2022,
Z-22-121,Philippines,2022,
